전철역명,전철역코드,호선,외부코드,
가능,1907,Line1,0109,
가산디지털단지,1702,Line1,P142,
간석,1816,Line1,0155,
개봉,1801,Line1,0143,
관악,1705,Line1,P146,
광명,1750,Line1,P144-1,
광운대,1019,Line1,119,
구로,1701,Line1,141,
구일,1813,Line1,142,
군포,1709,Line1,P150,
금정,1708,Line1,P149,
금천구청,1703,Line1,P144,
남영,1002,Line1,134,
노량진,1004,Line1,136,
녹양,1908,Line1,108,
녹천,1021,Line1,117,
당정,1729,Line1,P151,
대방,1005,Line1,137,
덕계,1910,Line1,106,
덕정,1911,Line1,105,
도봉,1902,Line1,114,
도봉산,1903,Line1,113,
도원,1817,Line1,159,
도화,1823,Line1,157,
독산,1714,Line1,P143,
동대문,0155,Line1,128,
동두천,1915,Line1,101,
동두천중앙,1913,Line1,103,
동묘앞,0159,Line1,127,
동암,1808,Line1,154,
동인천,1811,Line1,160,
두정,1727,Line1,P168,
망월사,1904,Line1,112,
명학,1707,Line1,P148,
방학,1901,Line1,115,
배방,1405,Line1,P174,
백운,1807,Line1,153,
병점,1716,Line1,P157,
보산,1914,Line1,102,
봉명,1401,Line1,P170,
부개,1815,Line1,151,
부천,1804,Line1,148,
부평,1806,Line1,152,
서동탄,1749,Line1,P157-1,
서울역,0150,Line1,133,
서정리,1722,Line1,P163,
석계,1018,Line1,120,
석수,1704,Line1,P145,
성균관대,1711,Line1,P153,
성환,1725,Line1,P166,
세류,1715,Line1,P156,
세마,1717,Line1,P158,
소사,1814,Line1,147,
소요산,1916,Line1,100,
송내,1805,Line1,150,
송탄,1721,Line1,P162,
수원,1713,Line1,P155,
시청,0151,Line1,132,
신길,1032,Line1,138,
신도림,1007,Line1,140,
신설동,0156,Line1,126,
신이문,1017,Line1,121,
신창,1408,Line1,P177,
쌍용,1402,Line1,P171,
아산,1403,Line1,P172,
안양,1706,Line1,P147,
양주,1909,Line1,107,
역곡,1803,Line1,146,
영등포,1006,Line1,139,
오류동,1802,Line1,144,
오산,1719,Line1,P160,
오산대,1718,Line1,P159,
온수,1821,Line1,145,
온양온천,1407,Line1,P176,
외대앞,1016,Line1,122,
용산,1003,Line1,135,
월계,1020,Line1,118,
의왕,1710,Line1,P152,
의정부,1906,Line1,110,
인천,1812,Line1,161,
제기동,0157,Line1,125,
제물포,1810,Line1,158,
종각,0152,Line1,131,
종로3가,0153,Line1,130,
종로5가,0154,Line1,129,
주안,1809,Line1,156,
중동,1822,Line1,149,
지행,1912,Line1,104,
직산,1726,Line1,P167,
진위,1720,Line1,P161,
창동,1022,Line1,116,
천안,1728,Line1,P169,
청량리,0158,Line1,124,
탕정,1404,Line1,P173,
평택,1724,Line1,P165,
평택지제,1723,Line1,P164,
화서,1712,Line1,P154,
회기,1015,Line1,123,
회룡,1905,Line1,111,
강남,0222,Line2,222,
강변,0214,Line2,214,
건대입구,0212,Line2,212,
교대,0223,Line2,223,
구로디지털단지,0232,Line2,232,
구의,0213,Line2,213,
까치산,0200,Line2,234-4,
낙성대,0227,Line2,227,
당산,0237,Line2,237,
대림,0233,Line2,233,
도림천,0247,Line2,234-1,
동대문역사문화공원,0205,Line2,205,
뚝섬,0210,Line2,210,
문래,0235,Line2,235,
방배,0225,Line2,225,
봉천,0229,Line2,229,
사당,0226,Line2,226,
삼성,0219,Line2,219,
상왕십리,0207,Line2,207,
서울대입구,0228,Line2,228,
서초,0224,Line2,224,
선릉,0220,Line2,220,
성수,0211,Line2,211,
시청,0201,Line2,201,
신답,0245,Line2,211-2,
신당,0206,Line2,206,
신대방,0231,Line2,231,
신도림,0234,Line2,234,
신림,0230,Line2,230,
신설동,0246,Line2,211-4,
신정네거리,0249,Line2,234-3,
신촌,0240,Line2,240,
아현,0242,Line2,242,
양천구청,0248,Line2,234-2,
역삼,0221,Line2,221,
영등포구청,0236,Line2,236,
왕십리,0208,Line2,208,
용답,0244,Line2,211-1,
용두,0250,Line2,211-3,
을지로3가,0203,Line2,203,
을지로4가,0204,Line2,204,
을지로입구,0202,Line2,202,RIGHT
이대,0241,Line2,241,
잠실,0216,Line2,216,
잠실나루,0215,Line2,215,
잠실새내,0217,Line2,217,
종합운동장,0218,Line2,218,
충정로,0243,Line2,243,
한양대,0209,Line2,209,
합정,0238,Line2,238,
홍대입구,0239,Line2,239,
가락시장,0340,Line3,350,
경복궁,0317,Line3,327,
경찰병원,0341,Line3,351,
고속터미널,0329,Line3,339,
교대,0330,Line3,340,
구파발,0310,Line3,320,
금호,0324,Line3,334,
남부터미널,0331,Line3,341,
녹번,0313,Line3,323,
대곡,1953,Line3,314,
대청,0337,Line3,347,
대치,0335,Line3,345,
대화,1958,Line3,309,
도곡,0334,Line3,344,
독립문,0316,Line3,326,
동대입구,0322,Line3,332,
마두,1955,Line3,312,
매봉,0333,Line3,343,
무악재,0315,Line3,325,
백석,1954,Line3,313,
불광,0312,Line3,322,
삼송,1950,Line3,318,
수서,0339,Line3,349,
신사,0327,Line3,337,
안국,0318,Line3,328,
압구정,0326,Line3,336,
약수,0323,Line3,333,
양재,0332,Line3,342,
연신내,0311,Line3,321,
오금,0342,Line3,352,
옥수,0325,Line3,335,
원당,1951,Line3,316,
원흥,1948,Line3,317,
을지로3가,0320,Line3,330,
일원,0338,Line3,348,
잠원,0328,Line3,338,
정발산,1956,Line3,311,
종로3가,0319,Line3,329,
주엽,1957,Line3,310,
지축,0309,Line3,319,
충무로,0321,Line3,331,
학여울,0336,Line3,346,
